Order #,Timestamp,Product Requested,Quote,Invoice Status,Payment Status,Tracking Provided
KR1,9/8/2025,"#1 Gemstone 2 case x10
#2  151 Surprise x 5",,,Pending Payment,Sent
KR2,9/8/2025,test,,,Completed,Sent
KR3,9/8/2025,test,test,Created,Completed,Sent
kr4,9/9/2025,test,"test: $22.00 x 3 = $66.00
SUBTOTAL = $66.00
AIR SHIPPING = $500.00
OCEAN SHIPPING = $300.00
BALANCE TOTAL = $866.00",Created,Completed,Sent
KR5,10/6/2025,"Battle Partners Booster Box w/o promo x 3
Terastal Festival EX Booster Box  sv8a"" x 3
Super Electric Breaker Booster Box sv8"" x 1
Ruler of the Black Flame Booster Box sv3"" x 2
Eevee Heroes Booster Box s6a"" x 2
Glory of Team Rocket"" x 2
Heat wave Arena x 2
Expansion Pack Black Bolt Booster box x 2
Expansion Pack White Flare Booster Box sv11W x 2
Pikachu Present Box x3","Battle Partners Booster Box w/o promo x 3: $40.00 x 3 = $120.00
Terastal Festival EX Booster Box  sv8a"" x 3: $53.00 x 3 = $159.00
Super Electric Breaker Booster Box sv8"" x 1: $40.00 x 1 = $40.00
Ruler of the Black Flame Booster Box sv3"" x 2: $31.00 x 2 = $62.00
Eevee Heroes Booster Box s6a"" x 2: $99.00 x 2 = $198.00
Glory of Team Rocket"" x 2: $40.00 x 2 = $80.00
Heat wave Arena x 2: $31.00 x 2 = $62.00
Expansion Pack Black Bolt Booster box x 2: $31.00 x 2 = $62.00
Expansion Pack White Flare Booster Box sv11W x 2: $31.00 x 2 = $62.00
Pikachu Present Box x3: $31.00 x 3 = $93.00
SUBTOTAL = $938.00
AIR SHIPPING = $100.00
OCEAN SHIPPING = $0.00
BALANCE TOTAL = $1038.00",Created,Paid - pending Tracking,
KR6,10/9/2025,"#3 151 Booster Box SV2a x 2
#37 Terastal Festival EX Booster Box sv8a x 1
#31 Mystery Booster Box Special Set x 1","#3 151 Booster Box SV2a: $62.00 x 2 = $124.00
#37 Terastal Festival EX Booster Box sv8a: $53.00 x 1 = $53.00
#31 Mystery Booster Box Special Set: $39.00 x 1 = $39.00
SUBTOTAL = $216.00
AIR SHIPPING = $34.00
OCEAN SHIPPING = $0.00
BALANCE TOTAL = $250.00",Created,Paid - pending Tracking,
KR7,11/13/2025 15:09:08,"Eif Baby 1.0 - 1 case
elf baby 2.0 -  1 case
""Mewtwo VSTAR Gift Box
+ Charizard VSTAR Gift Box"" - 1 case
Eevee Evolution Gift Box Set - 1 case
",,Created,,
KR8,11/17/2025,"#35 VSTAR Universe Booster Box s12a"" x 2
#37 Terastal Festival EX Booster Box  sv8a"" x2
#27 Terastal Festival EX Booster Box  sv8a"" x2
#61 White Flare Booster Box sv11W x2
","#35 VSTAR Universe Booster Box s12a"": $55.00 x 2 = $110.00
#37 Terastal Festival EX Booster Box  sv8a"" x2: $55.00 x 2 = $110.00
#27 Terastal Festival EX Booster Box  sv8a"" x2: $55.00 x 2 = $110.00
#61 White Flare Booster Box sv11W x2: $57.00 x 2 = $114.00
SUBTOTAL = $444.00
AIR SHIPPING = $34.00
OCEAN SHIPPING = $0.00
BALANCE TOTAL = $478.00",Created,,
KR9,1/8/2026 15:43:26,"#1    inferno X x 2
#2	mega brave x 2
#4	""black bolt x 1
5	white repair x 1
#6 Team Rocket's Glory x 2
#39	Pokémon Card 151 x 2
#21	VSTAR Universe x 2","#1    inferno X: $39.21 x 2 = $78.42
#2	mega brave: $39.21 x 2 = $78.42
#4	""black bolt: $37.86 x 1 = $37.86
5  white Flare: $36.51 x 1 = $36.51
#6 Team Rocket's Glory: $41.91 x 2 = $83.82
#39	Pokémon Card 151: $68.96 x 2 = $137.92
#21	VSTAR Universe: $66.25 x 2 = $132.50
SUBTOTAL = $585.45
AIR SHIPPING = $56.00
OCEAN SHIPPING = $0.00
BALANCE TOTAL = $641.45",Created,,
KR10,1/26/2026 18:43:06,"
Black bolt X 3 
White flare X 3 
Glory of team rocket X3
Heat wave arena X3
Crimson haze X4 
Terasral festival X2
Pokemon 151 X2
","Black bolt X 3: $38.83 x 3 = $116.49
White flare X 3: $36.53 x 3 = $109.59
Glory of team rocket X3: $38.83 x 3 = $116.49
Heat wave arena X3: $34.22 x 3 = $102.66
Crimson haze X4: $25.03 x 4 = $100.12
Terasral festival X2: $57.22 x 2 = $114.44
Pokemon 151 X2: $66.41 x 2 = $132.82
Dream EX x4: $44.83 x 4 = $179.32
SUBTOTAL = $971.93
AIR SHIPPING = $0.00
OCEAN SHIPPING = $135.00
BALANCE TOTAL = $1106.93",Created,Completed - Delivered,Yes
KR11,1/29/2026 12:41:46,Dream Ex x4,Pay and Pickup Croma Lehi,,,
KR12,2/8/2026 20:56:35,"Black bolt X 3
White flare X 3 
Glory of team rocket X 4
Terastal festival X 3
Super electric breaker X 3 
Battle partners X 2 
Crimson haze X 2 
Mega dream X 3","Black bolt X 3: $41.00 x 3 = $123.00
White flare X 3: $36.00 x 3 = $108.00
Glory of team rocket X 4: $38.00 x 4 = $152.00
Terastal festival X 3: $57.00 x 3 = $171.00
Super electric breaker X 3: $36.00 x 3 = $108.00
Battle partners X 2: $25.01 x 2 = $50.02
Crimson haze X 2: $25.50 x 2 = $51.00
Mega dream X 3: $44.51 x 3 = $133.53
23 Boxes Total: $0.00 x 0 = $0.00
SUBTOTAL = $896.55
AIR SHIPPING = $100.90
OCEAN SHIPPING = $0.00
BALANCE TOTAL = $997.45",Created,Completed,Yes
